Airline,Date_of_Journey,Source,Destination,Departure_Time,Arrival_Time,Duration,Total_Stops,Price,Month Name,Day of Month,Day Name,Week of Year,Month
IndiGo,2019-03-24,Banglore,New Delhi,22.2,1.1,2.83,0,3897,March,24,Sunday,12,3
Air India,2019-01-05,Kolkata,Banglore,5.5,13.15,7.42,2,7662,January,5,Saturday,1,1
Jet Airways,2019-09-06,Delhi,Cochin,9.25,4.25,19.0,2,13882,September,6,Friday,36,9
IndiGo,2019-12-05,Kolkata,Banglore,18.05,23.3,5.42,1,6218,December,5,Thursday,49,12
IndiGo,2019-01-03,Banglore,New Delhi,16.5,21.35,4.75,1,13302,January,3,Thursday,1,1
SpiceJet,2019-06-24,Kolkata,Banglore,9.0,11.25,2.42,0,3873,June,24,Monday,26,6
Jet Airways,2019-12-03,Banglore,New Delhi,18.55,10.25,15.5,1,11087,December,3,Tuesday,49,12
Jet Airways,2019-01-03,Banglore,New Delhi,8.0,5.05,21.08,1,22270,January,3,Thursday,1,1
Jet Airways,2019-12-03,Banglore,New Delhi,8.55,10.25,25.5,1,11087,December,3,Tuesday,49,12
Multiple carriers,2019-05-27,Delhi,Cochin,11.25,19.15,7.83,1,8625,May,27,Monday,22,5
Air India,2019-01-06,Delhi,Cochin,9.45,23.0,13.25,1,8907,January,6,Sunday,1,1
IndiGo,2019-04-18,Kolkata,Banglore,20.2,22.55,2.58,0,4174,April,18,Thursday,16,4
Air India,2019-06-24,Chennai,Kolkata,11.4,13.55,2.25,0,4667,June,24,Monday,26,6
Jet Airways,2019-09-05,Kolkata,Banglore,21.1,9.2,12.17,1,9663,September,5,Thursday,36,9
IndiGo,2019-04-24,Kolkata,Banglore,17.15,19.5,2.58,0,4804,April,24,Wednesday,17,4
Air India,2019-03-03,Delhi,Cochin,16.4,19.15,26.58,2,14011,March,3,Sunday,9,3
SpiceJet,2019-04-15,Delhi,Cochin,8.45,13.15,4.5,1,5830,April,15,Monday,16,4
Jet Airways,2019-12-06,Delhi,Cochin,14.0,12.35,22.58,1,10262,December,6,Friday,49,12
Air India,2019-12-06,Delhi,Cochin,20.15,19.15,23.0,2,13381,December,6,Friday,49,12
Jet Airways,2019-05-27,Delhi,Cochin,16.0,12.35,20.58,1,12898,May,27,Monday,22,5
GoAir,2019-06-03,Delhi,Cochin,14.1,19.2,5.17,1,19495,June,3,Monday,23,6
Air India,2019-03-21,Banglore,New Delhi,22.0,13.2,15.33,1,6955,March,21,Thursday,12,3
IndiGo,2019-03-04,Banglore,Delhi,4.0,6.5,2.83,0,3943,March,4,Monday,10,3
IndiGo,2019-01-05,Banglore,Delhi,18.55,21.5,2.92,0,4823,January,5,Saturday,1,1
Jet Airways,2019-06-05,Kolkata,Banglore,18.55,8.15,13.33,1,7757,June,5,Wednesday,23,6
Jet Airways,2019-09-06,Delhi,Cochin,21.25,12.35,15.17,2,13292,September,6,Friday,36,9
IndiGo,2019-01-06,Delhi,Cochin,21.5,3.35,5.75,1,8238,January,6,Sunday,1,1
GoAir,2019-05-15,Delhi,Cochin,7.0,12.55,5.92,1,7682,May,15,Wednesday,20,5
Vistara,2019-06-18,Banglore,Delhi,9.45,12.35,2.83,0,4668,June,18,Tuesday,25,6
Vistara,2019-06-15,Chennai,Kolkata,7.05,9.2,2.25,0,3687,June,15,Saturday,24,6
Vistara,2019-06-18,Chennai,Kolkata,7.05,9.2,2.25,0,3687,June,18,Tuesday,25,6
Air India,2019-01-05,Kolkata,Banglore,9.5,23.15,13.42,2,13227,January,5,Saturday,1,1
IndiGo,2019-06-04,Banglore,Delhi,4.0,6.5,2.83,0,4423,June,4,Tuesday,23,6
Jet Airways,2019-06-15,Delhi,Cochin,14.35,12.35,22.0,2,10919,June,15,Saturday,24,6
Jet Airways,2019-05-18,Delhi,Cochin,7.05,12.35,5.5,1,12373,May,18,Saturday,20,5
IndiGo,2019-06-27,Delhi,Cochin,10.35,21.0,10.42,1,5894,June,27,Thursday,26,6
